id_ref;nom_ref;t_kcal;t_prot;t_glu;t_lip;t_suc;t_ags
1;Poulet;140;26;0;2;;
2;Steak;157;28;0;5;;
3;Thon;177;26;0;2;;
4;Oeuf;138;12;1;9;;
5;Feta;264;14;4;21;;
6;Lentilles;90;8;13;0;;
7;Lardon;338;24;2;26;;
8;Jambon;134;18;0;6;;
9;Pois chiche;118;7;15;3;;
10;Tranche de poulet;105;25;1;2;;
11;Cordon bleu;220;14;15;12;;
12;Croquette de colin;166;12;13;7;;
13;Filet de colin;73;16;0;1;;
14;Poisson;100;22;0;2;;
15;Banane;90;1;20;0;;
16;Clémentine;47;1;9;0;;
17;Pomme;73;0;17;0;;
18;Fromage blanc;62;7;8;0;;
19;Amandier;421;5;45;24;;
20;Kinder délice;474;5;45;30;;
21;Petit écolier;500;7;65;24;;
22;Cookies Granola;495;6;64;23;;
23;Miel;330;0;85;0;;
24;Beurre de cacahuète;640;25;16;52;;
25;Yaourt perle de lait;130;3;13;7;;
26;Yaourt la laitière;91;3;13;3;;
27;Pain de mie;63;2;12;1;;
28;Compote Andros;70;0;16;0;;
29;Pâtes completes;345;12;67;2;;
30;Riz basmati;348;8;78;0;;
31;Pomme de terre;85;2;18;0;;
32;Pain complet;269;9;51;2;;
33;Boulgour;342;12;76;1;;
34;Quinoa;160;5;29;3;;
35;Haricot vert;24;2;4;0;;
36;Sauce tomate;60;1;6;3;;
37;Crème frâche;300;3;4;30;;
38;Lait de coco;210;2;3;21;;
39;Ratatouille;76;2;8;4;;
40;Flageolets;84;4;17;1;;
41;Tomate;20;0.5;3;0;;
42;Comcombre;14.7;1;2;0;;
43;Oignon ;40;2;7;0;;
44;Courgette ;20;1;3;0;;
45;Poivron;20;1;5;0;;
46;Chocolat 85% ;584;13;22;46;;
47;Concentré de tomate;78;2;13;0;;
48;Fromage;390;27;0;31;;
49;Parmesan;406;30;0;30;;
50;Avocat;205;2;0;20;;